"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
83,"NCT03347617","Ferumoxytol MRI in Assessing Response to Pembrolizumab in Patients With Brain Tumors From Melanoma and Glioblastoma",,"Recruiting","No Results Available","Glioblastoma|Malignant Primary Brain Neoplasm|Melanoma|Metastatic Malignant Neoplasm in the Brain","Drug: Ferumoxytol|Other: Laboratory Biomarker Analysis|Procedure: Magnetic Resonance Imaging|Biological: Pembrolizumab","Sensitivity and specificity of rCBV measured by ferumoxytol steady state imaging|Determine the safety and toxicity of pembrolizumab when used in combination with standard of care stereotactic radiation (arm 1) and chemo radiation (arm 2).|Progression free survival|Overall survival|Duration of best response","OHSU Knight Cancer Institute|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","45","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00016046|NCI-2017-02008|P30CA069533","December 20, 2017","November 1, 2019","November 1, 2022","November 20, 2017","null","December 22, 2017","OHSU Knight Cancer Institute, Portland, Oregon, United States","","https://ClinicalTrials.gov/show/NCT03347617"
84,"NCT01925573","Optune(NOVOTTF-100A)+ Bevacizumab+ Hypofractionated Stereotactic Irradiation Bevacizumab-Naive Recurrent Glioblastoma (GCC 1344)",,"Recruiting","No Results Available","RECURRENT GLIOBLASTOMA|Brain Tumor","Device: Optune(NOVOTTF-100A)","Number of Adverse Events with a grade 3 or high toxicity (Primary Measure)","University of Maryland|NovoCure Ltd.","All","22 Years and older   (Adult, Older Adult)","Not Applicable","27","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HP-00056719","May 2014","December 2021","December 2026","August 19, 2013","null","January 19, 2018","Ummc Msgcc, Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01925573"
85,"NCT03458455","Improved Therapy Response Assessment in Metastatic Brain Tumors","TREATMENT","Recruiting","No Results Available","Brain Metastases","Diagnostic Test: Magnetic Resonance Imaging|Radiation: Stereotactic Radiosurgery|Drug: Ipilimumab, nivolumab or pembrolizumab","Treatment Response|Overall survival","Oslo University Hospital|Hospital of Southern Norway Trust|Ostfold Hospital Trust|St. Olavs Hospital|Massachusetts General Hospital|Dana-Farber Cancer Institute|University Medical Center Groningen|University of Texas Southwestern Medical Center|South-Eastern Norway Regional Health Authority|Norwegian Cancer Society","All","18 Years and older   (Adult, Older Adult)","","200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2013/1033 LOOPS","March 1, 2013","March 1, 2021","March 1, 2021","March 8, 2018","null","March 8, 2018","Oslo University Hospital, Oslo, Norway","","https://ClinicalTrials.gov/show/NCT03458455"
86,"NCT03525080","Comparison of 6-fluoro-[18F]-L-dihydroxyphenylalanine (18F-DOPA) Positron Emission Tomography (PET) and Multiparametric Resonance Magnetic Imagery (RMI) in Initial Exploration of Glial Tumors","GLIROPA","Not yet recruiting","No Results Available","Brain Neoplasms|Adult Brain Tumor","Diagnostic Test: PET imagery","PET pictures and MRI sequences comparison","Center Eugene Marquis","All","18 Years and older   (Adult, Older Adult)","Not Applicable","16","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2017-4-52-010","July 1, 2018","April 30, 2019","May 31, 2019","May 15, 2018","null","May 15, 2018","Centre Eugène Marquis, Rennes, Bretagne, France","","https://ClinicalTrials.gov/show/NCT03525080"
87,"NCT02367482","Tryptophan Metabolism in Human Brain Tumors",,"Recruiting","No Results Available","Glioblastoma","","Interval Changes of Tumoral Metabolism|Interval changes of tumoral tryptophan metabolism","Wayne State University|NovoCure Ltd.","All","22 Years and older   (Adult, Older Adult)","","10","Other|Industry","Observational","Observational Model: Case-Control|Time Perspective: Prospective","Novocure rGBM AMT-PET","July 2014","December 2018","December 2018","February 20, 2015","null","December 21, 2017","Wayne State University, Detroit, Michigan, United States","","https://ClinicalTrials.gov/show/NCT02367482"
88,"NCT03010943","Brain Awake Surgery Using Virtual Reality Headset","CERVO1","Recruiting","No Results Available","Brain Tumor|Virtual Reality","Device: Virtual reality headset","percentage of patients in which assessment of language functions during awake craniotomy, is possible with virtual reality headset.","University Hospital, Angers","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","2016-A01139-42","February 17, 2017","January 2018","January 2018","January 5, 2017","null","May 8, 2017","CHU Angers, Angers, France","","https://ClinicalTrials.gov/show/NCT03010943"
89,"NCT02693990","A Trial of Increased Dose Intensity Modulated Proton Therapy (IMPT) for High-Grade Meningiomas",,"Recruiting","No Results Available","Meningioma|Brain Tumor","Radiation: Intensity Modulated Proton Therapy (IMPT)","Assess Safety and Utility of Increased Dose IMPT: Dose-limiting toxicity (DLT) using NCI CTC 4.0|The Absence of Progressive or Recurrent Disease|Overall Survival|Calculate Linear Energy Transfer Using Computer Simulations Based on the Treatment Plan","Massachusetts General Hospital|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-542|2U19CA021239-36","February 2016","February 2019","February 2023","February 29, 2016","null","June 14, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States|MD Anderson Cancer Center, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT02693990"
90,"NCT02783495","Feasibility And Efficacy Of An iPad-Based Cognitive Rehabilitation Program In Brain Tumor Patients",,"Recruiting","No Results Available","Glioma","Behavioral: Device: iPad","Number of subjects who complete the intervention|Patient-reported ease of use|Patient-reported user satisfaction|Change in attention|Change in working memory|Quality of Life|Improvement on neurocognitive testing|Subjective assessment of cognitive symptoms will be assessed","University of California, San Francisco|University of Tilburg","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16106|NCI-2017-01881|15-16366","May 2016","May 2019","December 2019","May 26, 2016","null","June 5, 2018","University of California, San Francisco, San Francisco, California, United States","","https://ClinicalTrials.gov/show/NCT02783495"
91,"NCT02502708","Study of the IDO Pathway Inhibitor, Indoximod, and Temozolomide for Pediatric Patients With Progressive Primary Malignant Brain Tumors",,"Recruiting","No Results Available","Glioblastoma Multiforme|Glioma|Gliosarcoma|Malignant Brain Tumor|Ependymoma|Medulloblastoma|Diffuse Intrinsic Pontine Glioma|Primary CNS Tumor","Drug: Indoximod|Drug: Temozolomide|Radiation: Conformal Radiation|Drug: Cyclophosphamide|Drug: Etoposide","Incidence of regimen limiting toxicities (RLTs)|Objective Response Rate|Safety and tolerability assessed by development of AEs and laboratory parameters of indoximod in combination with cyclophosphamide and etoposide.|Pharmacokinetics: Serum concentrations (Cmax/Steady State)|Safety and Tolerability of Indoximod combined with Temozolomide as assessed by incidence and severity of adverse events, dose interruptions and dose reductions.|Progression Free Survival (PFS)|Time to Progression|Overall Survival|Safety and Feasibility of Indoximod combined with conformal radiation as assessed by incidence and severity of adverse events, dose interruptions and dose reductions.","NewLink Genetics Corporation","All","3 Years to 21 Years   (Child, Adult)","Phase 1","115","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NLG2105","October 2015","March 2019","December 2019","July 20, 2015","null","July 2, 2018","Children's Heathcare of Atlanta, Atlanta, Georgia, United States|Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02502708"
92,"NCT02768389","Feasibility Trial of the Modified Atkins Diet and Bevacizumab for Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma|Brain Tumor","Drug: Bevacizumab|Behavioral: Modified Atkins Diet","Number of subjects following Modified Atkins Diet|Number of subjects with ketosis|Correlation of blood sugar levels by compliance level|Correlation of ketosis values by compliance level|Correlation of ketosis values by tumor response|Correlation of blood sugar levels by tumor response","Case Comprehensive Cancer Center|University of Cincinnati|OhioHealth Research Institute","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE10314","September 6, 2016","August 2018","February 2019","May 11, 2016","null","April 18, 2018","University of Cincinnati, Cincinnati, Ohio, United States|University Hospitals Cleveland Medical Center, Seidman Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States|Cleveland Clinic Taussig Cancer Institute, Case Comprehensive cancer Center, Cleveland, Ohio, United States|OhioHealth Research and Innovation Institute, Columbus, Ohio, United States","","https://ClinicalTrials.gov/show/NCT02768389"
93,"NCT02457845","HSV G207 Alone or With a Single Radiation Dose in Children With Progressive or Recurrent Supratentorial Brain Tumors",,"Recruiting","No Results Available","Supratentorial Neoplasms, Malignant","Biological: G207","Safety and Tolerability as Measured by Frequency of Grade 3 or Above Adverse Events|Immunologic Response|Virologic Shedding|Progression Free Survival|Overall Survival|Change in Performance (Ability to Perform Normal Activities)|Quality of Life (optional)","University of Alabama at Birmingham","All","3 Years to 18 Years   (Child, Adult)","Phase 1","18","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UAB 1472|R01FD005379","May 2016","May 2019","null","May 29, 2015","null","July 6, 2018","Children's of Alabama, Birmingham, Alabama, United States","","https://ClinicalTrials.gov/show/NCT02457845"
94,"NCT03250520","Application of Palliative Treatment in Children With Brain Stem Glioma and Recurrent High-grade Tumors in the Central Nervous System With the Nanomaterial NPt-Ca",,"Not yet recruiting","No Results Available","Brain Tumor, Pediatric, Brainstem Glioma|Brain Tumor, Pediatric, Recurrent","Drug: Platinum acetylacetonate (1% wt) supported by sol-gel technology functionalized titania","Change in the quality of life using the PedsQL Cancer Module©|Change in tumor size","Hospital Infantil de Mexico Federico Gomez","All","5 Years to 14 Years   (Child)","Early Phase 1","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","HIM 2017-072","September 1, 2017","February 28, 2018","February 28, 2019","August 15, 2017","null","August 15, 2017","","","https://ClinicalTrials.gov/show/NCT03250520"
95,"NCT03516162","Linking Digital Smartphone Behaviour With Brain Function","SmartSurgery","Recruiting","No Results Available","Brain Tumor|Hydrocephalus","Other: There is no study-specific intervention","Change in pattern of smartphone-assessed day-to-day behaviour|KPS|NIHSS|MoCA score|Domain-specific z-scores of neuropsychological functioning, age-, sex- and education-adjusted|For patients with a brain tumour, location of the lesion, as determined on MRI imaging|For patients with a brain tumour, the size of the lesion|For patients with a brain tumour, the degree of affected brain tissue as seen on early (within 5 days) or late postoperative MRI (3 months)|For patients with hydrocephalus, ventricular enlargement, as determined on MRI imaging, according to the Evans index (=A/E); Third ventricle index (= C/E); Cella media index (=D/F); Ventricular score (=(A+B+C+D)/E x 100)","University of Zurich","All","18 Years and older   (Adult, Older Adult)","","100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","BASEC 2018-00395","April 20, 2018","April 2020","December 2020","May 4, 2018","null","May 14, 2018","University Hospital Zurich, Zurich, Switzerland","","https://ClinicalTrials.gov/show/NCT03516162"
96,"NCT02451215","Laser Interstitial Thermal Therapy (LITT) for the Treatment of Pediatric Central Nervous System Tumors",,"Recruiting","No Results Available","Brain Tumor","Device: Laser Interstitial Thermotherapy (LITT)","Morbidity of LITT for the treatment of pediatric brain tumors|Efficacy of LITT for the treatment of pediatric brain tumors|Tumor control based on extent of tumor ablation|Characterization of the MRI changes following LITT tumor ablation","Children's Hospitals and Clinics of Minnesota","All","1 Year to 22 Years   (Child, Adult)","Not Applicable","18","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1504-044","April 2015","April 2025","null","May 21, 2015","null","May 21, 2015","Children's Hospitals and Clinics of Minnesota, Minneapolis, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT02451215"
